activity_id,day,date,date_source,workout_name
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian
24095842455,2,2026-08-24,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym
24130689701,3,2026-08-26,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Strength
24147071341,4,2026-08-28,raw filename,Strength
24182191984,5,2026-08-31,raw filename,Garmin Strength 2026-08-31 (24182191984)
24215717452,6,2026-09-02,raw filename,Garmin Strength 2026-09-02 (24215717452)
24278701838,7,2026-09-08,raw filename,Garmin Strength 2026-09-08 (24278701838)
24295061347,8,2026-09-09,raw filename,Garmin Strength 2026-09-09 (24295061347)
24327382124,9,2026-09-11,raw filename,Garmin Strength 2026-09-11 (24327382124)
